"region","duration","start_year","end_year","sstar_slope","asar_slope","estar_slope","sar_ave_slope","mp_dist","mnn_dist","N","MAT_C","MAP_mm","MAT_sd","MAP_sd"
2060019830,12,2004,2015,0.27374820206167,0.0344878393482097,0.308236041409879,0.233750878587143,56.6599485206793,27.3366251843448,14,13.298861995349,1058.47137854324,0.47248311104282,148.908322847931
2060020330,6,1995,2000,0.192551869200678,0.13966468070884,0.332216549909518,0.421972495150036,161.378116001096,47.6164680537805,14,12.9232451396189,1152.07583960057,0.387233139898157,183.957578605468
2060020620,6,1998,2003,0.151550240870544,0.120168916898244,0.271719157768788,0.479077232796908,231.328000448171,66.7111524661843,14,11.2068379747398,958.950389256009,0.261592013129683,94.0810936426854
2060021230,14,1996,2009,0.269783850461474,0.0946481381416716,0.364431988603146,0.291286271551065,114.606054685254,114.606054685254,14,11.8717602192636,1020.48804822737,0.3572684459458,142.514613174772
2060022970,12,1994,2005,0.18762659902654,-0.0550970459641769,0.132529553062363,0.281975438675352,198.503394948908,39.5811633743071,14,10.244151227282,1008.34750829317,0.552238901868715,151.288219912705
2060028670,6,2012,2017,0.145479607643998,0.0451967632457669,0.190676370889765,0.496371188278815,15.4369862881086,3.08444656728685,14,5.70370265639049,670.013723397572,0.675112422577757,100.421877355518
2060030160,8,2003,2010,0.185920428950657,-0.0238109834051521,0.162109445545505,0.281513417697568,133.884625628618,23.1228719240939,14,0.199800904413119,530.804106212386,0.690215552834784,64.4674704978714
2060030270,16,2003,2018,0.203005631835076,0.0588674239125093,0.261873055747586,0.209905017779987,48.4423354462615,8.53861000463912,14,2.48177183862047,593.826839330687,0.742524682467756,68.8058699226482
2060030490,18,1998,2015,0.177529550791586,0.0335529802779048,0.211082531069491,0.431749747402024,34.0306216190059,5.23727072082752,14,3.02161918774844,649.381138523006,0.826987398028757,91.5845420238384
2060030650,6,2012,2017,0.204849746408295,0.214599694742447,0.419449441150741,0.482039295728238,219.50504350876,13.6696755718035,14,1.91119812788365,635.613695367891,0.705571393769635,54.7722511230043
2060030660,20,1999,2018,0.188430171827104,0.0484628858619993,0.236893057689103,0.365778122419989,35.4081431802181,8.63044328463332,14,3.1620168520615,642.513770610879,0.751179693268507,83.4368944242828
2060031490,6,2010,2015,0.253385552771344,0.048703201755036,0.30208875452638,0.498773076297775,189.748716401052,27.9629308806009,14,3.61060734216754,715.796016679471,1.21822325167812,93.1449869190785
2060031740,6,2007,2012,0.218013334716628,0.199361986419998,0.417375321136625,0.489308753999318,108.58624922602,33.6874384913202,14,5.15852185903228,755.585285746642,1.02086248699025,77.1391590579591
2060031750,16,2003,2018,0.237541610289609,0.070424490916837,0.307966101206447,0.416440315052128,5.26605221207328,2.43890697684186,14,7.62596430939146,522.768490007052,0.63141432822845,64.8601445427706
2060031960,16,2003,2018,0.307807502236675,0.0381418584417356,0.34594936067841,0.501647696110331,94.8438723572868,43.5092925460192,14,6.69973045050031,691.812085865686,0.693927776082201,78.6578396406206
2060031970,16,2002,2017,0.201139632200362,0.0645172970042567,0.265656929204619,0.500195397190553,132.830016075035,77.6600883134449,14,7.39154351346484,662.69352345728,0.63328080531055,68.1906649849446
2060032680,16,2001,2016,0.229961330459811,0.179543038405216,0.409504368865027,0.433569662096827,25.2946631935511,9.99621681768959,14,8.47132634753389,798.664987008663,0.660083173416277,86.6430186217023
2060033010,12,2001,2012,0.296485087137863,0.0428726369919292,0.339357724129792,0.367469639465158,111.848020975842,9.11731246770069,14,6.97488287726466,852.770504515676,0.656254638470127,82.9297152692007
2060033020,24,1995,2018,0.177796787392091,0.162799620111339,0.34059640750343,0.440609023562728,123.077382457152,28.5993407070998,14,7.34034372242261,930.870497801626,0.736369725193563,124.102510422918
2060033330,12,1990,2001,0.317059886832026,0.0623625554395644,0.37942244227159,0.454316722949873,5.27008990015869,2.17132118501656,14,7.21646645090172,870.640382783766,0.725210411643517,133.646664223748
2060048980,6,2004,2009,0.276436665973608,0.261104458654015,0.537541124627623,0.447951981095584,52.351022716513,8.02179070173227,14,10.6978529071472,836.113969915956,0.220861759741419,83.155115448351
2060048990,12,2002,2013,0.135819130631226,0.0487460166172948,0.184565147248521,0.241080650112446,48.4493537637767,21.1164509037656,14,10.5666164594125,1323.91431618249,0.436072232995119,167.564755737324
2060049660,5,2002,2006,0.142276572244747,0.098146439519149,0.240423011763896,0.387263144453625,120.729588722893,19.1748603943826,14,10.2303946467307,740.770134515008,0.110869457057794,112.621686257042
2060050410,5,2002,2006,0.186239738690415,0.13894625334808,0.325185992038495,0.394887545944494,56.6777591035581,8.30628620230967,14,9.7006783820839,1070.26416128903,0.106664351271885,150.312922910295
2060050420,12,2002,2013,0.181398573345966,0.043405360542344,0.22480393388831,0.398748802709672,99.1660600878799,21.4296512887067,14,8.59726253474543,1550.80968111451,0.44418124899828,200.113571058245
2060052960,10,2002,2011,0.0792191617856551,0.186359223020164,0.265578384805819,0.425817361578227,45.1451344618954,22.6777124790006,14,8.55541463126317,1000.63869123796,0.450623384082658,125.721616442471
2060053240,12,2002,2013,0.0994862123882052,0.0972665764106912,0.196752788798897,0.461205334906165,145.803148124686,32.7024512594882,14,8.3782457168414,1226.58054149217,0.452955498991308,160.295499068283
2060053260,10,2002,2011,0.224637487185065,0.124515121496853,0.349152608681918,0.388384014141164,123.776330433183,20.795142214218,14,9.79068199600415,802.399386271669,0.481664401684862,109.859585989647
2060053270,6,2005,2010,0.221787250805141,0.0455042604705252,0.267291511275667,0.313351278376663,64.9025088259343,14.917478088234,14,10.0975081824914,636.718917662053,0.638163025878071,66.1473291687993
2060053500,8,2003,2010,0.233125241815748,0.044749991288886,0.277875233104634,0.248774491121217,46.1269645776738,6.17122739444939,14,10.3216986427224,632.480123563041,0.528883046730963,72.2471684920704
2060053510,10,2001,2010,0.200510118693655,0.00267813027766912,0.203188248971324,0.238454292771619,28.3629911521116,6.98028935079369,14,10.7770129172419,602.255496195653,0.496472279510861,66.3440635832537
2060053790,14,2002,2015,0.067734827042958,0.0223087402901365,0.0900435673330943,0.219527039635941,72.2245990435194,13.656658029621,14,10.533799497628,731.714956814236,0.504104052374002,109.028315802949
2060053800,8,2003,2010,0.234990126397224,0.0882011877731604,0.323191314170384,0.309120267170113,32.8806518345328,16.4094524657589,14,10.8734352180975,766.250570000604,0.499928733919886,73.070256661273
2060132720,10,2006,2015,0.152029900621226,-0.0241101878314961,0.12791971278973,0.194255736246834,58.2523609475327,3.32896212954837,14,-1.42763960781256,475.752333649048,0.799631483936736,39.6847002518353
2060420240,14,1993,2006,0.18655575673382,-0.0245378054045887,0.162017951329232,0.311310711466306,199.125346742739,44.0301898045452,14,10.0187230030051,858.249069265223,0.553949044601231,118.196965186764
2060441280,14,1993,2006,0.139849692288561,-0.0107103616315365,0.129139330657025,0.357593684501056,134.546694007755,45.6191246414269,14,10.0424358780401,809.420754995361,0.540009594339962,117.381927165686
2060455180,10,1995,2004,0.218254616443263,0.0990121752034309,0.317266791646694,0.31111808504195,149.905909762504,36.0646704495827,14,11.0346921359416,766.864189077564,0.551758800542925,129.708217038126
2060459960,12,1995,2006,0.184329872897127,0.0139916840523246,0.198321556949452,0.366909623748561,177.477893195852,47.5825262236554,14,11.6085559713866,701.154545655437,0.469315412411035,115.612121113527
2060497340,8,1996,2003,0.263643398483464,-0.00982369743860837,0.253819701044856,0.407260681733961,253.557564340003,56.9335107333636,14,11.3755432112938,818.721760765355,0.452655144814777,136.238510440983
2060502920,12,1995,2006,0.28618026126672,0.0990204097387046,0.385200671005424,0.429035736283226,241.532985642194,75.3173068313143,14,11.5168558090479,927.286407678582,0.384979391031329,110.188451450514
2060522960,8,2007,2014,0.200436354005574,0.0697869729283647,0.270223326933939,0.47004299633134,87.9140400556862,15.2393164393283,14,11.7296968557041,711.056663388666,0.497585044151617,129.040471062002
2060569180,5,1995,1999,0.10990219365013,0.0429547583328878,0.152856951983017,0.609680264310436,159.892749303079,50.7525948717179,14,10.1820094898951,1046.73661623253,0.426191690950895,229.393470821365
2060598470,10,2007,2016,0.165350992319839,0.020765421364585,0.186116413684424,0.37416560720711,120.762383687106,14.2859116103878,14,12.288176984338,827.791415750149,0.456581496483413,118.28923788755
4060037060,6,2007,2012,0.271167981472745,0.0467801875745136,0.317948169047259,0.470759509436704,8.07321596002219,3.39677616862432,14,7.08992360888772,1313.47280507248,0.243904805386475,195.497048308983
5060070110,12,2003,2014,0.235950738485377,0.110830627812359,0.346781366297735,0.375061941157124,53.2675852008505,31.7138515076378,14,19.7541488245513,1258.28015599442,0.420712643685855,294.413464131879
5060070390,16,2003,2018,0.169994376339799,0.00633376554315489,0.176328141882953,0.372684582154797,151.832256244274,37.370265042204,14,19.2200395891495,976.274951208737,0.470337108155171,212.572773594324
5060070440,12,2003,2014,0.191959424632037,0.161333356513734,0.353292781145771,0.374443602873597,100.639936718497,26.2309598307834,14,18.9733838757643,1193.36038350004,0.388012554862313,256.70314448544
